0;2,0,4,3;Hello;restart:5,reset:6,it:1,wont:1,start:1;restart;None
1;0;How may I help?;hi:3;hi;Null
2;1,0;what doesnt seem to work?;i:1,have:1,a:1,problem:1,with:1,my:2,car:2,isnt:1,working:1;i have a problem with my car;Null
3;1,0;Searching, please wait..;what:2,is:2,an:2,engine:2,?:2;what is an engine ? ;internet:search:
4;0,1;Squealing can be caused by various problems. Squeals can be the result of worn belts, or in some cases, problems with the brakes. Unless you are familiar with automobiles, it might be hard to diagnose the problem that is causing the noise. If you listen closely to noises you may be able to differentiate between a chirp and a squeal. Chirping is usually a sign of break issues while squealing comes from the engine and might mean a bad belt.;i:2,can:2,hear:2,squeals:1,squeaks:1;i can hear squeals;Null
5;0,1,0;can you describe what it looks like?;a:1,warning:1,light:1,turned:1,on:1;a warning light turned on;Null
6;1,0;Check your fuel gauge, do you have fuel?;the:2,car:2,wont:2,start:2;the car wont start;Null
7;0,1,0,6;seems like we found the problem.;no:1;no;Null
8;6,1,0;ok, when you start the engine (press the start button or turn the key) the car makes a sound?;yes:2;yes;Null
9;0;do you have a manual transmision?;the:2,car:2,barely:1,moves:3,and:1,very:2,slowly:2;the car barely moves and moves very slowly;Null
10;0,0,9;your clutch might be worn out, try to get to a car mechanic to verify he problem and replace it;yes:1;yes;Null
11;0,0,9;might be a problem with the transmission or with the padel, go to a mechanic to verify the problem;no:1;no;Null
12;0,0,9;It is simple to diagnose an air conditioning problem. Your air will simply not be cold. The causes are a little less simple. Your problems could be due to a faulty compressor or possibly a Freon leak. If you can roll your windows down until you have time to take your car into a shop.;the:3,air:2,conditioning:1,wont:1,cool:1,car:1,is:1,not:1,cold:1;the air conditioning wont cool the car the air is not cold;Null
13;0,0,9;If you notice your car is not steering properly, it could be as simple as your car being low on steering fluid. If the car is pulling your tires could be wearing unevenly or have an alignment issue.;the:1,steering:1,isnt:1,responding:1,properly:1;the steering isnt responding properly;Null
14;0,0,9;Its a fact of life: Your car will need fresh oil to stay functioning. However, if youre finding its needing changes and top-ups more frequently than it should, there might be a problem. Early signs you need to check your oil include a minor dip in performance and the ever-dreaded oil light on your dashboard. When your car is in a particularly dire need of an oil change, you may even start to see corrosion in its engine. Another oil-related complaint is the clogged oil filter. Youll probably see this problem if youve waited too long to change the oil. While modern cars come with systems that are equipped with filter bypasses, Its a good rule of thumb to change the filter whenever you change the oil. there also might be a leak, to check for a leak, simply park the car on a dry floor, fill the oil tank, let the car run for a few minutes,turn it off, and leave it for the night, if there is a small pool of oil under the car, you have a leak, go to a mechanic to replace the faulty pipe.;the:1,car:1,keeps:1,losing:1,oil:2,excessive:1,consumption:1;the car keeps losing oil excessive oil consumption;Null
15;0,0,9;Corrosion is the typical culprit when it comes to radiator leaks. However, the root cause of corrosion can be anything from poor maintenance to factory defects to contaminated fluid. In general, it makes more sense to replace a radiator rather than patch it up. That first leak means corrosion has already set in and that more leaks will follow soon. Whichever course you decide to take, avoid driving your car before its fixed — A leaky radiator can lead to overheating and even an engine fire.;oil:1,temprature:1,lamp:1,is:1,on:1,or:1,radiator:1,leaks:1;oil temprature lamp is on or radiator leaks;Null
